entry_time,exit_time,direction,strike_price,entry_price_cents,exit_price_cents,bet_size,contracts,pnl_dollars,pnl_pct,exit_reason,momentum_at_entry,confidence_at_entry,edge_at_entry,btc_price_at_entry,hold_candles,peak_pnl_pct
2018-11-20T23:45:00,2018-11-20T23:45:00,YES,4523.68,36.58,53.04,2.34,6,0.9876,45.0,take_profit,0.5309,0.28,0.3412,4501.17,1,45.0
2018-11-20T23:45:00,2018-11-20T23:45:00,YES,4501.17,50.0,72.5,2.34,4,0.9,45.0,take_profit,0.5309,0.28,0.207,4501.17,1,45.0
2018-11-20T23:45:00,2018-11-20T23:45:00,YES,4478.66,63.42,91.96,2.34,3,0.8562,45.0,take_profit,0.5309,0.28,0.0728,4501.17,1,45.0
2018-11-21T01:30:00,2018-11-21T01:30:00,YES,4467.81,34.12,49.48,14.06,41,6.2954,45.0,take_profit,0.1522,0.2,0.2838,4445.58,1,45.0
2018-11-21T01:30:00,2018-11-21T01:30:00,YES,4445.58,50.0,72.5,14.06,28,6.3,45.0,take_profit,0.1522,0.2,0.125,4445.58,1,45.0
2018-11-21T06:00:00,2018-11-21T06:00:00,NO,4503.03,50.0,35.0,9.38,18,-2.7,-30.0,stop_loss,-0.4831,0.224,0.172,4503.03,1,0.0
2018-11-21T06:00:00,2018-11-21T06:00:00,NO,4480.51,31.04,21.73,9.38,30,-2.7936,-30.0,stop_loss,-0.4831,0.224,0.3616,4503.03,1,0.0
2018-11-21T10:45:00,2018-11-21T10:45:00,NO,4689.88,50.0,35.0,9.38,18,-2.7,-30.0,stop_loss,-0.2683,0.208,0.13,4689.88,1,0.0
2018-11-21T10:45:00,2018-11-21T10:45:00,NO,4666.43,24.26,35.18,9.38,38,4.1484,45.0,take_profit,-0.2683,0.208,0.3874,4689.88,1,45.0
2018-11-21T11:30:00,2018-11-21T11:30:00,NO,4674.16,50.0,72.5,9.38,18,4.05,45.0,take_profit,-0.3251,0.224,0.172,4674.16,1,45.0
2018-11-21T11:30:00,2018-11-21T11:30:00,NO,4650.79,23.05,33.42,9.38,40,4.1492,45.0,take_profit,-0.3251,0.224,0.4415,4674.16,1,45.0
2018-11-21T15:45:00,2018-11-21T15:45:00,YES,4674.88,24.5,17.15,18.75,76,-5.5855,-30.0,stop_loss,0.388,0.216,0.422,4651.62,1,0.0
2018-11-21T15:45:00,2018-11-21T15:45:00,YES,4651.62,50.0,35.0,18.75,37,-5.55,-30.0,stop_loss,0.388,0.216,0.167,4651.62,1,0.0
2018-11-21T20:15:00,2018-11-21T20:15:00,YES,4572.96,19.48,28.25,18.75,96,8.4159,45.0,take_profit,0.4971,0.216,0.4722,4550.21,1,45.0
2018-11-21T20:15:00,2018-11-21T20:15:00,YES,4550.21,50.0,72.5,18.75,37,8.325,45.0,take_profit,0.4971,0.216,0.167,4550.21,1,45.0
2018-11-22T02:45:00,2018-11-22T02:45:00,NO,4664.37,50.0,32.5,18.75,37,-6.475,-35.0,stop_loss,-0.2993,0.208,0.13,4664.37,1,0.0
2018-11-22T02:45:00,2018-11-22T02:45:00,NO,4641.05,15.11,9.82,18.75,124,-6.557,-35.0,stop_loss,-0.2993,0.208,0.4789,4664.37,1,0.0
2018-11-23T03:15:00,2018-11-23T03:15:00,YES,4354.39,27.36,41.03,18.75,68,9.3011,50.0,take_profit,0.4102,0.216,0.3934,4332.73,1,50.0
2018-11-23T03:15:00,2018-11-23T03:15:00,YES,4332.73,50.0,75.0,18.75,37,9.25,50.0,take_profit,0.4102,0.216,0.167,4332.73,1,50.0
2018-11-24T02:30:00,2018-11-24T02:30:00,NO,4462.16,50.0,75.0,18.75,37,9.25,50.0,take_profit,-0.3244,0.224,0.172,4462.16,1,50.0
2018-11-24T02:30:00,2018-11-24T02:30:00,NO,4439.85,11.38,17.07,18.75,164,9.3312,50.0,take_profit,-0.3244,0.224,0.5582,4462.16,1,50.0
2018-11-25T01:30:00,2018-11-25T01:30:00,YES,3929.69,36.06,0.0,18.75,51,-18.3903,-100.0,expired,0.1859,0.2,0.2644,3910.14,1,0.0
2018-11-25T01:30:00,2018-11-25T01:30:00,YES,3910.14,50.0,100.0,18.75,37,18.5,100.0,expired,0.1859,0.2,0.125,3910.14,1,100.0
2018-11-25T06:00:00,2018-11-25T06:00:00,YES,3829.07,23.78,35.68,12.5,52,6.1838,50.0,take_profit,0.3159,0.216,0.4292,3810.02,1,50.0
2018-11-25T06:00:00,2018-11-25T06:00:00,YES,3810.02,50.0,75.0,12.5,25,6.25,50.0,take_profit,0.3159,0.216,0.167,3810.02,1,50.0
2018-11-26T01:00:00,2018-11-26T01:00:00,NO,4153.33,50.0,75.0,18.75,37,9.25,50.0,take_profit,-0.5131,0.224,0.172,4153.33,1,50.0
2018-11-26T01:00:00,2018-11-26T01:00:00,NO,4132.56,32.94,49.41,18.75,56,9.2228,50.0,take_profit,-0.5131,0.224,0.3426,4153.33,1,50.0
2018-11-26T17:15:00,2018-11-26T17:15:00,YES,3915.26,32.27,48.4,25.0,77,12.423,50.0,take_profit,0.425,0.216,0.3443,3895.78,1,50.0
2018-11-26T17:15:00,2018-11-26T17:15:00,YES,3895.78,50.0,100.0,25.0,50,25.0,100.0,expired,0.425,0.216,0.167,3895.78,1,100.0
2018-11-26T23:15:00,2018-11-26T23:15:00,YES,3809.48,32.94,49.41,12.5,37,6.0934,50.0,take_profit,0.3068,0.216,0.3376,3790.53,1,50.0
2018-11-26T23:15:00,2018-11-26T23:15:00,YES,3790.53,50.0,75.0,12.5,25,6.25,50.0,take_profit,0.3068,0.216,0.167,3790.53,1,50.0
2018-11-27T00:00:00,2018-11-27T00:00:00,YES,3883.77,31.94,20.76,18.75,58,-6.4848,-35.0,stop_loss,0.3836,0.28,0.3876,3864.45,1,0.0
2018-11-27T00:00:00,2018-11-27T00:00:00,YES,3864.45,50.0,32.5,18.75,37,-6.475,-35.0,stop_loss,0.3836,0.28,0.207,3864.45,1,0.0
2018-11-28T01:15:00,2018-11-28T01:15:00,NO,3911.16,50.0,75.0,18.75,37,9.25,50.0,take_profit,-0.3275,0.28,0.193,3911.16,1,50.0
2018-11-28T01:15:00,2018-11-28T01:15:00,NO,3891.6,19.26,28.88,18.75,97,9.3391,50.0,take_profit,-0.3275,0.28,0.5004,3911.16,1,50.0
2018-11-28T03:00:00,2018-11-28T03:00:00,NO,3896.38,50.0,32.5,18.75,37,-6.475,-35.0,stop_loss,-0.1057,0.208,0.13,3896.38,1,0.0
